,name1,name2
389,G3BP2,PKM
390,G3BP2,PROK2
391,G3BP2,EEF1A1
392,G3BP2,HNRNPA1
393,G3BP2,YBX1
394,G3BP2,DEDD
395,G3BP2,PTBP1
396,G3BP2,HNRNPA2B1
397,G3BP2,HNRNPDL
398,G3BP2,IFITM1
399,G3BP2,IRF7
400,G3BP2,ELAVL1
401,G3BP2,IFNB1
402,G3BP2,RASA4
403,G3BP2,ATXN2
404,G3BP2,PTPN11
405,G3BP2,RTN2
406,G3BP2,SPECC1
407,G3BP2,RNF19A
408,G3BP2,EIF4E
409,G3BP2,USP15
410,G3BP2,DDX3X
411,G3BP2,EIF4B
412,G3BP2,PPP1R15A
413,G3BP2,ILF2
414,G3BP2,IGFBP2
415,G3BP2,RNASEL
416,G3BP2,IFIH1
417,G3BP2,TNRC6A
418,G3BP2,ILF3
419,G3BP2,PMEL
420,G3BP2,HNRNPK
421,G3BP2,HDLBP
422,G3BP2,RBP1
423,G3BP2,NCL
424,G3BP2,RRBP1
425,G3BP2,HNRNPC
426,G3BP2,FXR2
427,G3BP2,QKI
428,G3BP2,SND1
429,G3BP2,AKAP12
430,G3BP2,FN1
431,G3BP2,SEC22B
432,G3BP2,IFNG
433,G3BP2,ATOH7
434,G3BP2,HDAC1
435,G3BP2,IGFBP3
436,G3BP2,IFIT1
437,G3BP2,CXCL8
438,MBTPS1,FAM20C
439,MBTPS1,ATF6
440,MBTPS1,CXCL10
441,MBTPS1,IL10
442,MBTPS1,CXCL8
443,MBTPS1,IL6R
444,MBTPS1,IL1A
445,MBTPS1,IL6
446,MBTPS1,IL17D
447,MBTPS1,CX3CL1
448,MBTPS1,IL21
449,MBTPS1,IL37
450,MBTPS1,CCL22
451,MBTPS1,CCL2
452,MBTPS1,ALB
453,MBTPS1,HMGCR
454,MBTPS1,GTPBP1
455,MBTPS1,PTPN11
456,MBTPS1,HSPA5
457,MBTPS1,SKI
458,MBTPS1,RARA
459,MBTPS1,ANGPT1
460,MBTPS1,KDR
461,POU1F1,PRL
462,POU1F1,HPSE
463,POU1F1,PLCB1
464,POU1F1,ANXA1
465,POU1F1,KCNK3
466,POU1F1,GNAS
467,POU1F1,PRKAR1A
468,POU1F1,PRKACA
469,FLNA,GAPDH
470,FLNA,PTPN11
471,FLNA,IKBKG
472,FLNA,IL6
473,FLNA,CXCL8
474,FLNA,GTF2H2
475,FLNA,ACTB
476,FLNA,INS
477,FLNA,ALB
478,FLNA,SERF1A
479,FLNA,RNASE1
480,FLNA,IQGAP1
481,FLNA,FLNB
482,FLNA,ICAM3
483,FLNA,KIF5B
484,FLNA,EDARADD
485,FLNA,RPS15
486,SUMO1,SUMO4
487,SUMO1,SENP5
488,SUMO1,SENP2
489,SUMO1,DAXX
490,SUMO1,PML
491,SUMO1,TRIM17
492,SUMO1,RBBP8
493,SUMO1,RPS27A
494,SUMO1,SAE1
495,SUMO1,IQGAP1
496,SUMO1,RNASE1
497,SUMO1,AGO1
498,SUMO1,PSAP
499,SUMO1,PPP2CB
500,SUMO1,HMGB1
501,SUMO1,DNASE1
502,REST,ACTB
503,REST,RPS17
504,REST,ASAH1
505,GOT1,GPT
506,GOT1,HK1
507,GOT1,TAC4
508,GOT1,HK3
509,GOT1,HK2
510,GOT1,GOT2
511,OVGP1,GOLPH3
512,CNR1,PLA2G2A
513,CNR1,CNR2
514,CNR1,PLA2G4A
515,CNR1,PLA2G6
516,SLAMF8,ALDH1A1
517,SLAMF8,ANKRD22
518,SLAMF8,IFNG
519,SLAMF8,SLAMF1
520,SLAMF8,RPS3A
521,CALY,KPNA1
522,CALY,SLC22A16
523,CALY,RNF19A
